slipangle,lateral_friction_coeff_r
-0.24467458430228084,1.4612033763757089
-0.2445317202356143,1.4608448549304693
-0.24137900121389633,1.4604613680500003
-0.23558982693602015,1.4603458754757646
-0.23293317830012783,1.4596088937984466
-0.22943195301635821,1.4586104167049756
-0.22507773912456353,1.457625471799312
-0.22179751426187977,1.4559341332509004
-0.2172165079576549,1.4540231278160716
-0.2126614569613703,1.4519286460162437
-0.21184926665579074,1.4491812411910316
-0.21447911056361613,1.4452517758617132
-0.21537079394953462,1.441103651549265
-0.2152458382284519,1.4367737190818073
-0.2141713656408888,1.432321912736662
-0.2096997361114199,1.4282004439167215
-0.2029065108249244,1.4247722605330473
-0.19782395373077644,1.4212740312722651
-0.19407329905419823,1.4173961996059292
-0.18832155875942713,1.4139391508978043
-0.18114848996048272,1.4112462916684683
-0.17568366676021152,1.4087026832655838
-0.17002256349520195,1.4062921776582171
-0.16389251435097862,1.404243938947537
-0.1600929342057431,1.4023305508865713
-0.1608311972639056,1.3997297904809365
-0.16180097642755453,1.3965744210244695
-0.16064762473835925,1.393261501734375
-0.15876717817511055,1.3899946596272519
-0.1563703948759878,1.3865855782197651
-0.1534549561298466,1.3831504219492219
-0.15028601494577432,1.379704059116304
-0.14863605989151618,1.3759158204209707
-0.1483016347445909,1.3716553527899054
-0.14689174172750752,1.3673903390886446
-0.1456948421177462,1.3630481291514212
-0.14564062987926252,1.3584335396824665
-0.1424457752294057,1.354629668184999
-0.13348151610272851,1.3526859142888576
-0.12477115223157531,1.3520633204414132
-0.11961724842294119,1.351987662942261
-0.11777668552403209,1.3522096817887033
-0.11678785899419042,1.3523981987485143
-0.11530309595583899,1.3529144002478615
-0.11515696305771073,1.3533959833887739
-0.1147556527121858,1.3537570199146178
-0.11308668126499977,1.35413425690588
-0.11058737479750524,1.3545647387579605
-0.11131489399018357,1.3546101830815294
-0.11514198208488624,1.353382736033303
-0.11729935183374107,1.3517464343348213
-0.11609945341788919,1.3501963292814405
-0.11301306962750135,1.349000870203943
-0.1121279354756497,1.3475389679451626
-0.11259365853805181,1.3455521506417871
-0.11159066063866296,1.3433726495964535
-0.11192263086842913,1.3407811368341824
-0.11496967862902197,1.3373863986119614
-0.11888684393132998,1.3330437885813604
-0.12297344980824687,1.3279705627991532
-0.12567280902069755,1.3225268426974022
-0.1277931980884206,1.3167575839042063
-0.12979790019682813,1.310482743799962
-0.13167118976456083,1.3036939201603455
-0.13320284478096944,1.2963009227942097
-0.13392025028015175,1.2883492847100892
-0.1370893181967614,1.279366211642727
-0.14428166334200498,1.2685792756545733
-0.15134998108123976,1.2566964094778343
-0.1558852560980133,1.2443634683431453
-0.1574750510601326,1.2319058678497372
-0.15794632749581083,1.21935427920931
-0.1574883794014854,1.2064925810260656
-0.15534720299247295,1.193557321665022
-0.1543767432139902,1.180346294952663
-0.1554135175967808,1.166525520583897
-0.15783120625152236,1.1520891776048547
-0.16051649846756066,1.1371131422690326
-0.16119707114971238,1.1221517880246472
-0.15912153688296105,1.1076668603267246
-0.15581652296652826,1.0933689486187441
-0.15320539181302673,1.079020134824455
-0.151485612623665,1.0644992220521594
-0.1510899160164445,1.0498872740219962
-0.15167491004978717,1.0351451500585345
-0.15497469627686122,1.019834511060711
-0.15958362251834335,1.0040571127641251
-0.16331123889226085,0.9886176813224623
-0.1650610727300572,0.973953484031389
-0.16611407573704873,0.959995322486478
-0.1676137748916371,0.9463337628362155
-0.16927033952647563,0.932835018309396
-0.16961663751294598,0.9198400444966686
-0.16691849747418708,0.9075966140605412
-0.16488563426878855,0.8955037673437208
-0.16688524373784097,0.8829932636369124
-0.17158912932464543,0.8703197664880219
-0.17369097683374668,0.8579933088174895
-0.17230871604787712,0.8462318671900867
-0.1701954923768103,0.834906273956518
-0.16682121694804564,0.8238765039553102
-0.1645504786066565,0.8128571087405597
-0.16359976459013215,0.8019274242625887
-0.1622537700859581,0.7915578191466908
-0.15966152438722303,0.7819616281849686
-0.15665878128378163,0.7730572185588087
-0.1561823371555351,0.76432629256931
-0.15677028561919615,0.7556667254617795
-0.15756912482489516,0.7471585808978087
-0.1565552399919643,0.7388732117876096
-0.15167849994024674,0.7310474304744767
-0.14664339063138265,0.7236599438232767
-0.14447690482126463,0.7160452561268028
-0.14285771165999273,0.7088595816191146
-0.14217433779884225,0.7022486794165014
-0.1409021122710763,0.6960856246758865
-0.1392208850548442,0.6904421235604712
-0.1396025238347156,0.6850080104620929
-0.141837954738955,0.6794706228086164
-0.14378942448307797,0.6742478253953508
-0.1465805433620846,0.6693245602752163
-0.149721420649799,0.664462567148987
-0.14936551169189638,0.6599878791073356
-0.1458459051217582,0.6559824007653076
-0.14223109407501933,0.6521726913702226
-0.14028677387871857,0.6485993592631644
-0.13665131566584665,0.6456389133581555
-0.12796730039798376,0.6434543205640713
-0.11993372896037569,0.6413982665416241
-0.1171006140437223,0.6389227067437313
-0.1213103895440848,0.6357261558021597
-0.128242422008348,0.6315457823689855
-0.1346111725676069,0.6268763731502607
-0.14065359801802146,0.6219463786845986
-0.14583139380562926,0.6169307982889222
-0.15132587583002222,0.6117850206208177
-0.15640381338397003,0.606401907909341
-0.16323680609744695,0.6005224519963825
-0.17124240408683122,0.594188548359343
-0.17563765868088277,0.58789146610915
-0.17568848212880828,0.5818901459833009
-0.1722027376575066,0.5763390212275151
-0.17379189073698242,0.5704803973988717
-0.1772522384259294,0.5643472014662125
-0.18145558622749758,0.5581079129128448
-0.1840882477813195,0.5519462797690867
-0.18261708534238918,0.5464427561131364
-0.17515755237998598,0.541616353541111
-0.16917920198657987,0.5368779096747325
-0.17028792553572614,0.5318391639521779
-0.17390543870456687,0.5267382171331789
