,0,1,2,3,4,5,6,7,8,9,10,11,12,13
51,1016,0.3,-0.87,0.063,-0.12,-1.09,0.057,0.25,-0.13,-0.06,0.07,-0.296,-1615.908,1615.908
52,1026,0.22,-0.83,0.069,0.54,-0.99,0.065,0.41,-0.29,-0.06,0.07,-0.296,-1826.211,1826.211
53,1036,0.2,-0.96,0.098,0.45,-1.05,0.065,0.19,-0.33,-0.07,0.07,-0.296,-2764.992,2764.992
54,1046,0.2,-0.96,0.098,0.45,-1.05,0.099,0.04,-0.29,-0.08,0.08,-0.298,-2764.992,2764.992
55,1057,0.38,-0.93,0.113,-0.14,-0.89,0.114,0.07,-0.14,-0.08,0.1,-0.296,-3886.755,3886.755
56,1067,-0.23,-1.25,0.122,0.45,-1.68,0.114,-0.15,-0.18,-0.1,0.1,-0.296,-4694.189,4694.189
57,1077,-0.36,-2.14,0.142,1.04,-2.13,0.143,-0.53,0.22,-0.12,0.13,-0.297,-5465.195,5465.195
58,1087,0.32,-2.99,0.179,1.16,-2.82,0.143,-0.91,0.74,-0.15,0.16,-0.296,-5262.023,5262.023
59,1097,0.32,-2.99,0.179,1.16,-2.82,0.176,-1.49,1.58,-0.17,0.2,-0.296,-5663.333,5663.333
60,1108,0.27,-4.3,0.214,1.02,-4.41,0.215,-2.68,3.06,-0.24,0.27,-0.296,-5859.864,5859.864
61,1118,-0.28,-4.95,0.315,2.0,-4.28,0.31,-4.05,3.83,-0.32,0.32,-0.296,-6062.36,6062.36
62,1128,0.57,-4.17,0.384,0.33,-4.62,0.389,-4.3,4.49,-0.35,0.37,-0.296,-5748.402,5748.402
63,1138,0.01,-5.78,0.42,2.28,-5.55,0.414,-4.58,4.65,-0.39,0.4,-0.296,-5569.966,5569.966
64,1148,0.37,-4.89,0.468,2.27,-5.03,0.414,-4.93,5.21,-0.43,0.46,-0.296,-5610.956,5610.956
65,1159,0.37,-4.89,0.468,2.27,-5.03,0.463,-6.13,5.31,-0.54,0.5,-0.297,-5610.956,5610.956
66,1170,0.24,-5.56,0.547,2.66,-5.52,0.646,-7.16,6.03,-0.63,0.58,-0.297,-5822.93,5822.93
67,1180,2.43,-5.27,0.658,1.98,-5.31,0.654,-7.62,6.46,-0.7,0.64,-0.296,-6040.345,6040.345
68,1190,-0.51,-5.33,0.742,2.83,-5.38,0.725,-8.96,6.67,-0.82,0.7,-0.296,-6209.354,6209.354
69,1200,1.41,-5.63,0.842,-1.82,-4.56,0.848,-9.51,6.61,-0.91,0.74,-0.296,-6209.354,6209.354
70,1210,0.25,-5.94,0.842,-1.82,-4.56,0.848,-9.82,6.82,-0.99,0.8,-0.296,-6334.298,6334.298
71,1221,0.25,-5.94,0.892,6.77,-5.93,0.89,-10.22,6.9,-1.09,0.86,-0.297,-6327.962,6327.962
72,1231,0.37,-6.0,1.032,5.07,-5.66,1.032,-9.69,7.04,-1.14,0.93,-0.296,-6307.739,6307.739
73,1241,2.88,-5.47,1.115,4.58,-6.47,1.113,-9.95,7.37,-1.23,1.01,-0.297,-6270.753,6270.753
74,1251,0.6,-5.6,1.123,-0.6,-4.48,1.12,-9.18,7.48,-1.27,1.09,-0.296,-6114.197,6114.197
75,1261,2.75,-6.09,1.123,8.58,-6.6,1.12,-8.67,7.73,-1.33,1.17,-0.296,-5860.151,5860.151
76,1272,2.75,-6.09,1.168,8.58,-6.6,1.162,-8.66,7.41,-1.43,1.24,-0.296,-5637.786,5637.786
77,1282,-7.84,-6.42,1.478,-3.0,-5.46,1.477,-8.22,7.25,-1.49,1.3,-0.296,-5582.503,5582.503
78,1292,4.1,-6.7,1.433,5.77,-5.24,1.451,-7.07,6.96,-1.51,1.35,-0.296,-5705.015,5705.015
79,1302,-0.4,-6.38,1.464,3.54,-5.8,1.459,-6.01,7.32,-1.54,1.44,-0.296,-5846.719,5846.719
80,1312,4.02,1.37,1.552,1.65,-5.89,1.542,-6.1,7.31,-1.62,1.5,-0.296,-5846.719,5846.719
81,1322,7.11,-3.14,1.552,1.65,-5.89,1.542,-6.1,7.04,-1.68,1.55,-0.297,-6006.892,6006.892
82,1333,7.11,-3.14,1.639,9.73,-0.44,1.733,-5.5,6.81,-1.74,1.61,-0.296,-6131.87,6131.87
83,1343,5.4,-3.7,1.76,-0.56,-3.87,1.755,-4.64,6.69,-1.77,1.67,-0.296,-6192.594,6192.594
84,1353,3.17,-4.63,1.785,2.18,-4.79,1.78,-3.91,6.4,-1.81,1.72,-0.299,-6155.625,6155.625
85,1363,0.27,-4.26,1.817,11.68,-0.65,1.818,-4.2,5.78,-1.88,1.77,-0.297,-6098.417,6098.417
86,1373,6.75,-4.3,1.817,11.68,-0.65,1.818,-4.04,5.95,-1.93,1.83,-0.297,-5947.115,5947.115
87,1384,6.75,-4.3,1.871,16.74,-2.33,1.889,-3.61,6.02,-1.97,1.91,-0.297,-5866.217,5866.217
88,1394,-1.18,-4.53,2.005,7.29,-2.02,1.979,-4.46,5.63,-2.05,1.95,-0.297,-5589.667,5589.667
89,1404,3.65,-7.17,2.122,4.14,-3.7,2.098,-4.67,5.24,-2.1,2.0,-0.296,-5312.525,5312.525
90,1414,2.51,-2.76,2.193,3.69,-4.65,2.205,-4.4,5.11,-2.13,2.06,-0.296,-5068.093,5068.093
91,1424,4.84,-6.1,2.249,4.6,-2.96,2.205,-4.47,4.33,-2.17,2.08,-0.297,-5068.093,5068.093
92,1436,4.84,-6.1,2.249,4.6,-2.96,2.264,-3.94,4.2,-2.21,2.14,-0.297,-4770.355,4770.355
93,1448,-1.04,-5.1,2.373,0.09,-2.65,2.329,-4.34,4.46,-2.27,2.21,-0.296,-4434.196,4434.196
94,1458,-1.04,-5.1,2.373,0.09,-2.65,2.397,-4.54,4.26,-2.33,2.25,-0.296,-4052.148,4052.148
95,1469,8.7,-1.59,2.388,16.38,-0.43,2.366,-3.8,4.36,-2.34,2.3,-0.296,-3648.001,3648.001
96,1479,8.57,-3.72,2.464,-3.47,-2.09,2.459,-4.14,3.89,-2.39,2.32,-0.296,-3593.174,3593.174
97,1489,4.72,-1.54,2.546,13.35,-0.94,2.504,-3.96,3.34,-2.42,2.34,-0.296,-3094.004,3094.004
98,1499,6.33,-2.78,2.644,5.13,-1.7,2.504,-2.61,2.89,-2.4,2.37,-0.296,-2423.376,2423.376
99,1511,6.24,-1.13,2.644,5.13,-1.7,2.663,-1.69,2.94,-2.4,2.4,-0.297,-1817.763,1817.763
100,1522,6.24,-1.13,2.609,8.72,-1.07,2.637,-1.34,2.13,-2.41,2.4,-0.297,-1709.021,1709.021
101,1532,3.83,-3.03,2.692,2.84,-0.55,2.695,-0.76,1.36,-2.4,2.4,-0.297,-1271.961,1271.961
102,1542,4.93,-1.69,2.748,8.69,2.16,2.724,-0.58,0.48,-2.42,2.38,-0.296,-865.802,865.802
103,1552,10.85,-1.63,2.782,-1.14,0.53,2.794,-0.21,-0.35,-2.43,2.36,-0.296,-865.802,865.802
104,1562,10.85,-1.63,2.782,-1.14,0.53,2.794,-0.04,-1.17,-2.45,2.33,-0.296,-599.778,599.778
105,1573,1.92,0.67,2.71,7.28,-0.45,2.614,0.5,-1.67,-2.43,2.33,-0.296,-411.339,411.339
106,1583,6.95,-3.4,2.53,14.39,3.71,2.526,0.99,-2.51,-2.42,2.28,-0.297,-267.606,267.606
107,1593,8.69,-0.38,2.552,-0.15,0.97,2.575,2.12,-2.9,-2.37,2.26,-0.297,-267.606,267.606
108,1603,3.14,-0.12,2.516,9.6,4.56,2.543,2.44,-3.24,-2.34,2.24,-0.297,-126.036,126.036
109,1613,7.59,2.51,2.516,10.07,3.16,2.543,2.61,-3.8,-2.32,2.2,-0.296,-56.629,56.629
110,1624,7.59,2.51,2.5,10.07,3.16,2.487,3.18,-4.06,-2.29,2.17,-0.297,15.533,-15.533
111,1634,7.07,1.86,2.345,11.95,0.94,2.349,4.38,-5.16,-2.21,2.11,-0.296,15.533,-15.533
112,1644,0.31,1.87,2.357,-0.56,2.43,2.346,4.14,-5.77,-2.21,2.05,-0.296,26.482,-26.482
113,1654,5.33,0.27,2.424,-0.92,2.75,2.394,4.22,-5.64,-2.18,2.02,-0.296,48.92,-48.92
114,1664,5.35,1.28,2.424,10.65,2.8,2.394,3.71,-4.98,-2.17,2.02,-0.297,48.92,-48.92
115,1675,5.35,1.28,2.481,10.65,2.8,2.497,3.61,-4.46,-2.16,2.0,-0.297,53.296,-53.296
116,1685,6.07,2.6,2.393,-4.25,3.4,2.396,2.93,-3.93,-2.15,1.99,-0.296,46.723,-46.723
117,1695,4.41,1.19,2.439,8.55,1.43,2.42,2.25,-3.81,-2.16,1.96,-0.296,33.071,-33.071
118,1705,1.23,0.86,2.407,1.23,3.95,2.42,3.42,-3.21,-2.08,1.95,-0.295,33.071,-33.071
119,1715,1.23,0.86,2.407,1.23,3.95,2.43,3.67,-2.2,-2.04,1.96,-0.297,44.527,-44.527
120,1725,11.97,2.03,2.225,-0.11,2.49,2.285,3.88,-1.88,-2.0,1.94,-0.297,46.723,-46.723
121,1735,0.64,1.0,2.139,10.18,2.39,2.163,3.01,-1.58,-2.02,1.93,-0.296,46.723,-46.723
122,1745,8.31,2.41,2.28,2.3,1.76,2.184,2.35,-0.86,-2.02,1.94,-0.296,28.678,-28.678
123,1755,3.3,1.62,2.28,2.3,1.76,2.184,2.62,-1.24,-1.97,1.9,-0.297,-5.215,5.215
124,1765,3.3,1.62,2.401,1.11,1.75,2.362,2.24,-0.88,-1.95,1.9,-0.296,-138.151,138.151
125,1775,8.81,2.53,2.252,1.84,1.46,2.279,1.47,-0.38,-1.96,1.89,-0.295,-138.151,138.151
126,1785,-1.25,2.47,2.322,-4.13,2.13,2.299,1.32,-0.86,-1.94,1.86,-0.297,-372.411,372.411
127,1795,8.55,1.37,2.286,8.72,2.94,2.295,1.34,-0.33,-1.93,1.87,-0.297,-631.356,631.356
128,1805,0.31,0.02,2.286,-2.59,0.19,2.295,1.54,0.01,-1.9,1.86,-0.296,-914.885,914.885
129,1816,0.31,0.02,2.236,-2.59,0.19,2.282,1.61,0.04,-1.87,1.86,-0.296,-842.402,842.402
130,1827,12.92,3.27,2.111,17.77,3.94,2.104,0.85,0.1,-1.89,1.85,-0.297,-970.252,970.252
131,1837,1.58,-0.61,2.138,-8.25,0.91,2.146,1.83,-0.08,-1.85,1.85,-0.297,-1222.861,1222.861
132,1847,5.45,2.34,2.128,7.82,2.26,2.147,0.76,-0.68,-1.88,1.83,-0.297,-1486.098,1486.098
133,1857,2.17,0.68,2.083,0.67,2.67,2.093,0.53,-0.39,-1.88,1.84,-0.297,-1359.025,1359.025
134,1867,2.17,0.68,2.083,0.67,2.67,2.093,0.61,0.6,-1.86,1.88,-0.296,-1478.377,1478.377
135,1878,3.71,0.16,2.187,0.82,-0.19,2.19,-0.29,0.05,-1.9,1.85,-0.297,-1690.656,1690.656
136,1888,3.16,1.78,2.134,6.24,2.74,2.177,-0.48,0.36,-1.89,1.86,-0.296,-1690.656,1690.656
137,1898,4.95,-0.38,2.159,7.48,-0.67,2.125,-1.25,0.36,-1.91,1.87,-0.296,-2184.52,2184.52
138,1908,0.35,-0.82,2.079,-2.75,-0.86,2.139,-0.63,0.53,-1.89,1.87,-0.296,-2802.94,2802.94
139,1918,0.35,-0.82,2.079,-2.75,-0.86,2.139,-0.52,0.47,-1.89,1.86,-0.296,-3264.753,3264.753
140,1929,6.85,-0.27,2.084,14.55,2.17,2.06,-0.23,0.12,-1.89,1.84,-0.296,-3264.753,3264.753
141,1940,7.48,0.13,2.123,-5.78,-1.76,2.116,-1.6,-0.02,-1.95,1.83,-0.296,-3655.604,3655.604
142,1950,2.36,-2.09,2.111,9.77,-0.6,2.154,-2.18,0.91,-1.97,1.87,-0.296,-3948.831,3948.831
143,1960,4.77,-0.51,2.052,3.68,0.0,2.154,-1.42,0.84,-1.96,1.88,-0.296,-4215.919,4215.919
144,1970,4.77,-0.51,2.052,3.68,0.0,2.06,-1.21,1.14,-1.96,1.9,-0.296,-4215.919,4215.919
145,1981,4.3,-2.27,2.193,2.84,-1.19,2.168,-2.8,1.93,-2.04,1.95,-0.296,-4240.486,4240.486
146,1991,2.9,-3.56,2.24,7.84,-1.11,2.228,-3.42,1.41,-2.09,1.95,-0.296,-4240.486,4240.486
147,2001,5.88,-4.58,2.167,-1.77,-2.43,2.208,-3.87,2.71,-2.13,2.02,-0.296,-4240.486,4240.486
148,2011,5.28,-2.81,2.155,10.02,-1.1,2.208,-3.55,3.18,-2.15,2.06,-0.296,-4222.137,4222.137
149,2023,-1.98,-3.73,2.155,10.02,-1.1,2.149,-3.25,2.87,-2.16,2.06,-0.296,-4196.236,4196.236
150,2034,-1.98,-3.73,2.348,9.97,-1.98,2.26,-4.55,3.58,-2.25,2.12,-0.296,-4067.895,4067.895
151,2044,14.74,-1.55,2.431,-4.28,-2.98,2.457,-3.96,3.79,-2.27,2.15,-0.297,-4003.404,4003.404
152,2054,-0.28,-4.67,2.366,11.68,-0.42,2.388,-4.72,3.61,-2.32,2.18,-0.298,-4003.404,4003.404
153,2064,8.58,-0.44,2.346,11.41,0.58,2.36,-5.33,4.27,-2.39,2.23,-0.297,-3847.321,3847.321
154,2074,-1.78,-4.04,2.346,11.41,0.58,2.36,-5.46,4.9,-2.44,2.28,-0.297,-3725.975,3725.975
155,2085,-1.78,-4.04,2.37,-0.29,-1.01,2.381,-5.84,4.49,-2.49,2.3,-0.296,-3604.629,3604.629
156,2095,11.29,-2.8,2.442,5.79,-0.64,2.444,-5.59,4.57,-2.53,2.34,-0.296,-3677.822,3677.822
157,2105,7.06,-4.12,2.483,3.31,-2.78,2.486,-5.3,4.81,-2.55,2.38,-0.296,-3619.058,3619.058
158,2115,5.71,-4.11,2.494,8.47,-1.44,2.491,-5.16,4.64,-2.6,2.41,-0.297,-3556.442,3556.442
159,2125,7.38,-2.86,2.519,1.17,-0.9,2.491,-4.84,4.3,-2.63,2.44,-0.298,-3556.442,3556.442
160,2135,7.38,-2.86,2.519,1.17,-0.9,2.509,-3.86,4.39,-2.64,2.49,-0.296,-3548.687,3548.687
161,2146,4.85,-3.09,2.539,1.26,0.12,2.576,-3.87,3.98,-2.67,2.53,-0.296,-3493.81,3493.81
162,2156,11.98,-3.66,2.547,1.88,-1.21,2.588,-3.53,3.37,-2.69,2.53,-0.296,-3433.103,3433.103
163,2166,4.73,-3.61,2.56,4.16,-2.44,2.552,-2.68,2.74,-2.7,2.53,-0.296,-3433.103,3433.103
164,2176,5.72,-4.11,2.483,3.21,-1.27,2.547,-1.54,2.07,-2.7,2.54,-0.296,-3337.811,3337.811
165,2186,1.61,-3.65,2.483,3.21,-1.27,2.547,-1.73,2.17,-2.72,2.57,-0.296,-3165.575,3165.575
